fund_name,company_name,country,sector_raw,borrower_type_raw,company_website,source_text,source_url,notes
AgdevCo,Dawson,Mozambique,,Primary production,,"A Mozambique-based primary producer of macadamias and avocados. AgDevCo’s long-term investment will allow the company to expand current macadamia and avocado production to 1,000 ha over the next 5 years. The expansion will drive rural job creation as well as critical skills development while scaling local production to unlock further value chain growth opportunities.",https://www.agdevco.com/our-investments/dowson/,
AgdevCo,ECA,Mozambique,,Processing,https://www.ecamoz.com/,"AgDevCo has provided both debt and equity financing, most of which has been used to establish a state-of-the-art maize mill and develop an outgrower programme. ECA is able to offer a reliable market and fair prices by securing off-take agreements and linking farmers with high-volume market players. AgDevCo has helped to achieve a guaranteed market for higher-priced maize and has introduced sustainable farming practices.",https://www.agdevco.com/our-investments/eca/,
AgdevCo,Quinta da Bela Vista Limitada (QBV),Mozambique,,Primary production,,"QBV is located in Boane, Mozambique adjacent to the Pequenos Libombos dam. The project started in 2016 and 128 ha of bananas have been planted to date. AgDevCo funds will be used for refinancing existing short-term loans, working capital and capex related to the project. This will sustain the current employees and contribute to the increase of employees in the next years. Most employees come from densely populated but extremely poor areas with limited formal employment. Thus, the project is improving livelihoods in surrounding communities. The export of bananas offers Mozambique the opportunity to increase foreign exchange revenue.",https://www.agdevco.com/our-investments/quinta-da-bela-vista-limitada-qbv/,
AgdevCo,Transurban,Mozambique,,Primary production,,"AgDevCo’s investment helped grow Ovos de Ouro (OdO), an egg farm in Morrumbene to a 65,000 hen layer operation integrated with a feed mill in Matola, a hatchery in Boane and dedicated outlets selling its produce (feed, day old checks and eggs) in Southern Mozambique. OdO produces good quality, affordable protein in the form of eggs, a small amount of broilers as well as day-old-broiler chicks.",https://www.agdevco.com/our-investments/transurban/,
AgdevCo,Westfalia Fruto,Mozambique,,Primary production with added-value activity,https://www.westfaliafruit.com/,AgDevCo has partnered with Westfalia South Africa to create a farm hub that will transform Mozambique into a fruit-exporting country. A 25% equity stake was taken by AgDevCo to finance land clearance and avocado orchard planting. A loan was also committed to purchase farming equipment and for working capital purposes. AgDevCo is also playing a pivotal role in the design and implementation of the outgrower scheme.,https://www.agdevco.com/our-investments/westfalia-fruto/,
AgdevCo,Uzima Chicken,Rwanda,,Primary production with added-value activity,,"AgDevCo’s debt investment into Uzima Chicken Limited provides the operational funding required for rapid growth as a domestic producer of day-old chicks for local smallholder farmers and, ultimately, the creation of a succesful export market. To achieve this, Uzima is investing in a new high-quality hatchery facility in Bugesera District, Rwanda, which will allow Uzima to expand production capacity to 8-10 million birds a year.",https://www.agdevco.com/our-investments/uzima-chicken/,
AgdevCo,Agristar,South Africa,,Primary production with added-value activity,https://www.agris.group/,"Agristar is a South African primary producer of macadamias with interests in (i) Global Macadamias, a South African processing plant and global marketing company and now in (ii) Jacoma, a Malawian primary producer of macadamias. AgDevCo’s investment has contributed to create a large, geographically diversified macadamia platform and will support the future growth of the macadamia industry across the region. The combination of Agristar and Jacoma will allow the transfer of knowledge and best practices between the two farming groups, provide geographic and climatic diversification for Agristar and give Jacoma greater access to Agristar's sector leading processing and marketing capabilities.",https://www.agdevco.com/our-investments/agristar/,
AgdevCo,Skutwater,South Africa,,Primary production with added-value activity,,"AgDevCo provided a non-controlling minority equity investment into Skutwater Boerdery (Pty) Ltd (Skutwater) to partner with Mahela Group and ZZ2 Group, two prominent farming businesses in South Africa. AgDevCo’s investment will allow the current operation to expand from a combined 190 hectares of citrus and avocadoes to 400 hectares under phase 1, with further potential to expand to 1,500 hectares under phase 2. The partnership includes the intention that Skutwater actively pursues expansion opportunities in southern Africa (outside of South Africa) with an initial focus on Mozambique.",https://www.agdevco.com/our-investments/skutwater/,
AgdevCo,Africado,Tanzania,,Primary production with added-value activity,,"AgDevCo’s investment will allow Africado to grow its avocado estate operations, expand the outgrower scheme and increase its pack-shed capacity to accommodate higher production from its own estate and from outgrowers. Thus, strengthening a sustainable business which provides economic benefit to the local community in terms of employment, access to market and income uplift for smallholder farmers and nationally by increasing export earnings.",https://www.agdevco.com/our-investments/africado/,
AgdevCo,EFAfrica Group,Tanzania,,Financial Intermediaries,https://www.efafrica.group/,"EFAfrica Group is an equipment leasing company serving over 1,500 smallholder farmers and SMEs across Kenya, Tanzania and Zambia, many of whom lack the formality and collateral requirements sought by regular banks. Popular leases include trucks, tractors and other agricultural equipment, with a typical value of between $10,000 and $80,000.",https://www.agdevco.com/our-investments/efafrica-group/,
AgdevCo,Pee Pee Tanzania Limited (PPTL),Tanzania,,Processing,https://pptl.biz/,"AgDevCo’s long-term debt investment into Pee Pee Tanzania Limited (PPTL) will allow the company to expand its manufacturing capacity, including setting up a new dedicated factory for the production of grain storage bags. The storage bags offer smallholder farmers a simple and low-cost way of storing grain and seed without using chemicals to control insect pests. They are durable and can be stored in family homes.",https://www.agdevco.com/our-investments/pee-pee-tanzania-limited-pptl/,
AgdevCo,Nakifuma Farming Company,Uganda,,Primary production,,"Nakifuma Farming Company is a greenfield investment founded by AgDevCo and Centurion Agricultural Partners in 2018 to establish a new 390-sow pig breeding and finishing unit on the outskirts of Kampala, Uganda. The company is one of only a handful of commercial-scale pork farms in the country. Nakifuma is using improved genetics and animal husbandry practices to deliver quality meat to satisfy the rapidly growing local demand",https://www.agdevco.com/our-investments/nakifuma-farming-company/,
AgdevCo,New Forests Company,Uganda,,Primary production with added-value activity,https://newforests.earth/,"New Forests Company (NFC), founded in 2004, is a vertically integrated forestry company with 18,000 hectares of FSC-certified pine and eucalyptus plantations in Uganda and Tanzania. The company also manages 12,000 hectares of conservation area, promoting biodiversity and carbon sequestration.",https://www.agdevco.com/our-investments/new-forests-company/,
AgdevCo,Uzima Chicken (Uganda),Uganda,,Primary production with added-value activity,,"AgDevCo’s debt investment into Uzima Uganda provides the funding required for the expansion of operations in Uganda including production of day-old chicks for local smallholder farmers. To achieve this, Uzima is investing in setting and stocking up a new farm at Buruli, expanding its hatchery capacity and increasing its feed production volume. This is expected to expand Uzima’s production capacity to 8-10 million birds a year over a 5-year period.",https://www.agdevco.com/our-investments/uzima-uganda/,
AgdevCo,Goldenlay,Zambia,,Primary production with added-value activity,https://goldenlay.co.zm/,"Established in 2005, Goldenlay has a fully automated layer production facility and includes backward integration into irrigated and dryland cropping. AgDevCo’s investment provides a long-term financing solution which allows the business to better finance current operations and deliver on expansion and value addition projects.",https://www.agdevco.com/our-investments/goldenlay/,
AgdevCo,Hybrid Poultry,Zambia,,Primary production with added-value activity,,AgDevCo’s long-term investment will allow the company to expand its current processing capacity though a new processing plant. The increased processing will support community economic uplift through increased employment opportunities and the investment will also contribute to improved nutrition with an increased production of chicken as a cheap source of proteins.,https://www.agdevco.com/our-investments/hybrid-poultry/,
AgdevCo,Katito Farming Enterprises Ltd,Zambia,,Primary production,,"AgDevCo is the lead investor and developer of Katito Farm, partnering with two other shareholders. Katito produces mainly high quality seed potatoes under irrigation alongside seed potato grading and handling and cold storage infrastructure.",https://www.agdevco.com/our-investments/katito-farming-enterprises-ltd/,
AgdevCo,Saise Farming Enterprises Ltd (SFEL),Zambia,,Primary production with added-value activity,,"AgDevCo’s investment was used to establish a fully operational early generation seed potato farm comprising land development, staff housing, irrigation, securing of mains electricity and the purchase of farm equipment, sheds, cold stores, back up generators and processing machinery.",https://www.agdevco.com/our-investments/saise-farming-enterprises-ltd-sfel/,
ABC Fund,Ecakoog,Côte d’Ivoire,Cocoa,,,"Ecakoog is a cooperative of cocoa farmers located in the southwest region of Cote d’Ivoire. They source, market and export cocoa beans. Ecakoog provides a variety of services to its member farmers, including technical assistance in good agricultural practices, sound management practices, and responsible social and environmental practices. They offer training and pre-payment advances to their members. The cooperative also supports women farmers to help them generate more revenue by diversifying their production to other food crops, such as maize and rice. Ecakoog has 8,233 members, and the cooperative is Fair Trade certified, with 1,763 producers certified RA and 105 certified Bio. Since its inception, Ecakoog has been locally selling cocoa until 2021, when it ventured into the international market. The cooperative growth strategy is to increase its activity in the export market.",https://agri-business-capital.com/ourinvestments.html,
ABC Fund,JKCC,Uganda,Coffee,,,"JKCC General Supplies is a Ugandan based coffee trader which started its operations in 2017 as a coffee trader buying coffee beans from smallholder farmers and selling them to local offtakers based in Uganda. In 2020, the company secured its coffee export license and began secondary processing of coffee. Today, the Company exports about 80% of its produce to coffee trading companies and multinationals based in Europe. The Company serves as an offtaker for about 3,720 smallholder coffee farmers across 16 districts in Uganda who have been organized and formally registered as an association called Consortium of Central and Western Farmers Association. JKCC procures Fair Average Quality (FAQ) Coffee from its coffee farmers, instead of dried coffee cherries (KKiboko) – which ensures that farmers secure higher income for their coffee through value addition. Farmers typically receive about 45% higher net proceeds on selling FAQ compared to KKiboko. JKCC General Supplies is currently in the process of receiving fairtrade certification for 1,687 farmers for the first time.",https://agri-business-capital.com/ourinvestments.html,
ABC Fund,Wish Kenya,Kenya,Macadamia,,,"Wish Kenya Limited processes macadamia nuts, cashew nuts, and local nuts into kernels and high-value products (cookies, macadamia oil) which it sells in international and local markets. The company works with approximately 600 smallholder farmers through a network of agents operating across the various macadamia growing regions. The Company's processing facilities are strategically located in Thika, due to its proximity to the macadamia growing regions, making it a focal point for numerous macadamia processors in the area. This effectively streamlines its operations and optimizes the efficiency of its supply chain management. The company has been in the macadamia industry for the past 13 years and has diversified its product offering to include products offered in the local market. In 2021, WKL transitioned from processing macadamia nuts for exporters to actively participating in the export of macadamia nuts. The company now processes and packages its macadamia kernels in labeled cartons for the export market. Additionally, WKL processes the by-products of the macadamia nuts into macadamia oil and sells them in the local market to supermarkets and shops.",https://agri-business-capital.com/ourinvestments.html,
ABC Fund,Locafrique,Senegal,Multi (financial services),,,"Locafrique is a Tier-1 credit-only financial institution headquartered in Dakar, Senegal. The institution has been operating since 1977 and has grown to become one of the largest credit-only financial institutions in the UEMOA region, providing customized solutions to SMEs, producers, manufacturers/processors, and cooperatives in various sectors, such as agriculture, construction, renewable energy, and transport. Locafrique has been one of the largest financiers of the agriculture sector in Senegal. Their focus is on a value chain approach and financing diverse types of players across the agriculture value chain. Since 2017, Locafrique has primarily focused on rice (over 80% of financing), potatoes, cashews, vegetables and legumes, bananas, and livestock value chains. More than 87% of Locafrique's agri-clients are agriculture groups and associations ('GIE' - Groupes à Intérêts Economiques), with an average of about 150 members. In 2023, more than 75% of Locafrique's agriculture portfolio comprised asset financing products. Locafrique has a compelling reputation as a leading agricultural financier in a sector that is largely underserved by Tier-1 financial institutions.",https://agri-business-capital.com/ourinvestments.html,
ABC Fund,PAMECAS,Senegal,Multi (financial services),,,"PAMECAS is a licensed decentralized financial institution and operates as a network of savings and credit cooperatives that focuses on socially responsible lending and inclusive finance. It is one of the largest rural focused microfinance institutions in Senegal, with a network of 28 branches and 107 service points around the country. PAMECAS plays a crucial role in providing financial services to the agricultural sector, with a gross loan portfolio of EUR 126 million, of which 21% is allocated to this sector. They have over 940,000 depositors, of which 43 are women and 100,000 active borrowers, of which 47% are women, 38% men and the rest are group borrowers. PAMECAS serves over 61,000 members organized in groups, primarily within the agriculture sector with 79% of these members (49,000) being women members. While on average, only 19 of loans within the sector are disbursed to women, over 55% of PAMECAS’ individual clients are women.",https://agri-business-capital.com/ourinvestments.html,
ABC Fund,Nyesigiso,Mali,multi (financial services),,,"Nyesigiso is a network of rural savings and credit cooperatives operating in Mali, which collects savings from members and provides them loans and microcredits. Nyesigiso operates under the status of Decentralised Financial Entities (“Systèmes financiers Décentralisés” SFDs). Nyesigiso is headquartered in Bamako, Mali. With over 260,000 members and a presence in six of Mali’s nine regions, Nyesigiso is the country’s second largest microfinance institution with one of the largest rural farmers networks. Nyesigiso’s strategy over the past half decade has been to encourage femaleparticipation through creating loan products solely dedicated to women. TheInstitution has also focused on personnel gender diversity. As of June 2021,Nyesigiso had 278 permanent staff, 48% of whom are women.",https://agri-business-capital.com/ourinvestments.html,
ABC Fund,Africa Négoce Industries (ANI),Benin,Cashew,,,"Africa Négoce Industries (ANI) is a raw cashew nut processor based in Benin. ANI collects raw cashew nuts mainly from farmer cooperatives and processes them into cashew kernels for the export market. Smallholder farmers working with ANI benefit from a stable access to markets with constant prices, thus positively impacting their livelihoods. ANI will enter a purchasing relationship with Fédération Nationale des Producteursd'Anacarde du Bénin - composed of 40,000 smallholder farmers - the country's second-biggest cooperatives union in the cashew sector. ANI is also in the process of getting the BIO certification and aims to be certified by the end of 2023. This certification will allow ANI to benefit from certification premiums when selling organic kernels.",https://agri-business-capital.com/ourinvestments.html,
ABC Fund,Grace and Mercy,Nigeria,multi (financial services),,,"Grace and Mercy is a non-bank microfinance institution based in Nigeria that addresses the financial needs of economically disadvantaged and marginalized women engaged in small trading and micro-productive activities. The company is therefore uniquely positioned to reach the ABC Fund’s target segment of rural women operating in the agricultural sector. As of December 2022, the number of rural borrowers is 166,417 with 99.9% of them being women. The number of permanent rural employees is 810, of whom 4% are women and 48% are young.",https://agri-business-capital.com/ourinvestments.html,
ABC Fund,Promo Fruits,Benin,Pineapple,,,"Promo Fruits is one of the largest pineapple juice processors in Benin. Promo Fruits procures fresh fruits from local cooperatives to be processed into juices and nectars free of preservatives and additives.The ABC Fund has loaned Promo Fruits EUR 800,000 to cover its working capital needs, to import materials to manufacture juice cans and to purchase equipment to create polytunnels which smallholder farmers use to create optimum temperatures and humidity levels for fruit growing, leading to higher yields. This equipment is expected to boost 750 smallholder farmers’ production capacity and income. Promo Fruits provides free advice and training on harvest techniques and phytosanitary treatment for the control of plant diseases, to smallholder farmers. The ABC Fund’s support will help the company generate sufficient cash flow to continue offering these services to farmers.PromoFruits continues to expand and plans to increase the production capacity of its processing plant. As of December 2022, the company is working with 2,683 smallholder farmers, of whom 34% are women and 70% are youth.",https://agri-business-capital.com/ourinvestments.html,
ABC Fund,Groupe Diakhate,Mali,Poultry feed,,,"Groupe Diakhate is a poultry feed manufacturer based in Mali. The ABC Fund has loaned Groupe Diakhate EUR 450,000 to purchase feed raw materials such as cotton seeds, soybean meal, and maize and acquire new modern and efficient equipment, including two processing machines and a solar electricity generating system to sustainably power the process. The investment will enable Groupe Diakhate to strengthen its relationships with farmer cooperatives representing 250 farmers and become more involved in its production process. It will also enable the company to increase its workforce. For the upcoming season, Groupe Diakhate plans to launch a programme of assistance to supply both fertilizers and seeds to smallholder farmers as well as mechanization services to improve their productivity.As of December 2022, the company is working with 26 cooperatives representing 250 farmers with 65% of them being women and 72% young people.",https://agri-business-capital.com/ourinvestments.html,
ABC Fund,Matale Hill Brothers,Uganda,Coffee,,,"Matale Hill Brothers Ltd (MHB) is a company based in Uganda involved in the secondary processing of coffee. MHB buys coffee from smallholder farmers and traders across the coffee-growing fields of Uganda, processes the coffee, and markets it to their various off-takers. MHB sells graded and ungraded coffee to various multinationals and local companies in Uganda. The company has received a credit facility of USD 257,200 (EUR 254,000) from the ABC Fund to meet its working capital needs.",https://agri-business-capital.com/ourinvestments.html,
ABC Fund,EBO,Uganda,multi (financial services),,,"EBO is a savings and credit cooperative society (SACCO) with nearly 48,000 members, which provides sustainable financial services to almost 12,000 borrowers, most of whom are smallholder farmers operating predominantly in the agriculture and food crops sector in rural Uganda. Its mission is to serve rural smallholder farmers by providing them with sustainable quality financial services that promote improved livelihoods of the rural and peri-urban poor.Out of EBO’s six branches, five are based in rural towns servicing clients engaged primarily in agriculture activities. More than half of EBO’s active borrowers are women and over 80% of the institution’s loans are deployed to groups and individuals engaged in the agriculture sector.",https://agri-business-capital.com/ourinvestments.html,
ABC Fund,YEHU,Kenya,multi (financial services),,,"Yehu is a credit-only microfinance institution that provides financial services to disadvantaged communities in rural Kenya. The company aims to empower rural marginalized entrepreneurs both socially and economically by enhancing access to innovative, affordable and sustainable financial solutions. The company has rapidly grown in the coastal region of Kenya in the last 15 years and successfully replicated its model in the eastern region of Kenya. The company currently serves more than 35,000 clients, almost a quarter of which are operating in agriculture, through 12 branch outlets.",https://agri-business-capital.com/ourinvestments.html,
ABC Fund,Premier Credit Kenya,Kenya,multi (financial services),,,"Premier Credit is a credit-only microfinance institution which provides credit to individuals and SMEs in Kenya. The company’s SME clients generally own small businesses that require short-term working capital for specific expenses, at short notice and to meet an immediate business need, such as farming inputs for example. Premier Credit has an expansive network of branches, with over half of its branches located in rural areas, where a majority of households derive their income from agricultural activities.As of December 2022, Premier has over 39,000 rural borrowers, of whom 47% are women and 30% are young. The company employs over 900 people, 94% of whom are young and 65% are women.",https://agri-business-capital.com/ourinvestments.html,
